,Sat2Earth_x,Sat2Earth_y,Sat2Earth_z
801,-11951,-16305,-4119.1
802,-11847,-16341,-4144.1
803,-11742,-16376,-4168.9
804,-11637,-16410,-4193.4
805,-11531,-16442,-4217.7
806,-11424,-16475,-4241.8
807,-11317,-16506,-4265.7
808,-11209,-16536,-4289.4
809,-11100,-16565,-4312.8
810,-10991,-16594,-4336
811,-10881,-16622,-4359
812,-10770,-16648,-4381.7
813,-10659,-16674,-4404.2
814,-10547,-16699,-4426.4
815,-10434,-16723,-4448.4
816,-10321,-16746,-4470.2
817,-10207,-16768,-4491.7
818,-10093,-16789,-4512.9
819,-9978.1,-16809,-4533.9
820,-9862.5,-16828,-4554.6
821,-9746.3,-16846,-4575.1
822,-9629.5,-16863,-4595.3
823,-9512.1,-16879,-4615.3
824,-9394.1,-16894,-4634.9
825,-9275.5,-16908,-4654.3
826,-9156.4,-16921,-4673.5
827,-9036.6,-16933,-4692.3
828,-8916.3,-16945,-4710.9
829,-8795.5,-16955,-4729.1
830,-8674,-16963,-4747.1
831,-8552,-16971,-4764.8
832,-8429.5,-16978,-4782.2
833,-8306.4,-16984,-4799.3
834,-8182.8,-16989,-4816
835,-8058.6,-16992,-4832.5
836,-7934,-16995,-4848.7
837,-7808.8,-16996,-4864.5
838,-7683.1,-16996,-4880
839,-7556.9,-16995,-4895.2
840,-7430.2,-16993,-4910.1
